Computer Name,Host Name,Operating System,Group,Mode,Was the computer installed at least 7 days ago?,Has there been no files that would have been blocked in the last 4 days?,Has the computer checked in at least one time per day for at least 4 weekdays?,Did the learning mode start more than 7 days ago?,Learning Mode Scheduled End Date,Last Checkin,From,Status,Install Date,Denied Count 3 days,Denied Count 5 days,Denied Count 7 days,Update Channel,TL Version,TL Intended Version
SMH-L103,SMH-L103,Windows 11 Pro ,Workstations,Secure,false,false,true,false,,2024-05-29T21:38:39Z,104.219.185.179,Inactive,2023-10-09T20:11:00Z,0,0,0,Regular,8.4.0.1736/8.4.0.1AMD64
SMH-L104,SMH-L104,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:18Z,72.196.88.162,Active,2023-10-09T12:31:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L106,SMH-L106,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:37Z,72.24.150.2,Active,2023-10-06T23:51:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
smh-l107,SMH-L107,macOS 15.1.0 (24B83),MAC,Application Control Learning Mode,true,false,true,true,2034-08-02T02:02:30Z,2024-11-15T15:46:47Z,167.224.196.178,Active,2024-04-26T02:03:00Z,0,5,12,Regular,[MAC] 3.2.3.770
smh-l108,smh-l108,macOS 14.3.1,MAC,Application Control Learning Mode,true,true,false,true,2034-08-06T14:29:31Z,2024-05-10T16:16:51Z,104.219.185.179,Inactive,2024-04-30T14:30:00Z,0,0,0,Regular,[MAC] 2.7.0.418
SMH-L109,SMH-L109,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:46:59Z,72.196.88.162,Active,2023-10-10T13:17:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L110,SMH-L110,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-14T22:59:11Z,104.219.185.179,Offline,2023-10-09T13:35:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L111,SMH-L111,Windows 11 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:02Z,173.25.48.208,Active,2024-09-16T19:01:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L111,SMH-L111,Windows,Workstations,Secure,false,false,true,false,,2024-09-12T21:01:18Z,172.16.8.10,Inactive,2023-10-06T23:51:00Z,0,0,0,Regular,9.0.0.2102/9.0.0.0AMD64
SMH-L112,SMH-L112,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-07-01T23:16:47Z,99.105.230.202,Inactive,2023-10-09T16:02:00Z,0,0,0,Regular,8.4.0.1736/8.4.0.1AMD64
SMH-L113,SMH-L113,macOS 15.1.0 (24B83),MAC,Application Control Learning Mode,true,false,true,true,2024-11-18T15:42:00Z,2024-11-15T14:29:12Z,173.47.246.251,Offline,2024-10-28T15:42:00Z,0,0,6,Regular,[MAC] 3.2.3.770
SMH-L115,SMH-L115,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-14T22:54:37Z,104.219.185.179,Offline,2023-10-09T13:36:00Z,1,3,5,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L116,SMH-L116,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:14Z,104.219.185.179,Active,2023-10-09T13:35:00Z,0,0,0,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L118,SMH-L118,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:46:57Z,104.219.185.179,Active,2023-10-09T12:47:00Z,0,2,3,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L119,SMH-L119,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-15T15:47:10Z,72.222.76.173,Active,2023-10-06T22:02:00Z,0,1,1,Regular,9.3.3.2407/9.3.0.299AMD64
SMH-L120,SMH-L120,Windows 10 Pro ,Workstations,Secure,false,false,true,false,,2024-11-07T16:23:48Z,104.219.185.179,Offline,2023-10-06T21:16:00Z,0,0,0,Regular,9.0.0.2102/9.0.0.0AMD64
