"Name","OperatingSystem","LastLogonDate"
"SMH-L90","Windows 10 Pro","2/7/2024 10:50:53 AM"
"SMH-L184","Windows 11 Pro","11/11/2024 8:03:08 AM"
"SMH-L186","Windows 10 Pro","9/3/2024 8:50:50 AM"
"SMH-L187","Windows 10 Pro","11/8/2024 9:08:29 AM"
"SMH-L192","Windows 11 Pro","11/12/2024 1:23:50 AM"
"SMH-L194","Windows 10 Pro","11/7/2024 8:22:42 AM"
"SMH-L195","Windows 11 Pro","11/14/2024 8:27:08 AM"
"SMH-APP01","Windows Server 2022 Standard","11/8/2024 11:13:30 AM"
"SMH-T194",,
"SMH-L165","Windows 10 Pro","11/7/2024 7:18:10 AM"
"smh-l197","macOS","11/14/2024 1:09:44 PM"
"SMH-L185","Windows 10 Pro","11/15/2024 9:05:49 AM"
"SMH-L198","Windows 11 Pro","11/14/2024 4:12:10 PM"
"LDGP-T12","Windows 10 Pro","9/11/2024 10:23:38 AM"
"SMH-L202","Windows 10 Pro","9/24/2024 6:45:41 PM"
"SMH-L141","Windows 10 Pro","11/14/2024 7:09:21 AM"
"smh-l188","macOS","4/1/2024 8:14:06 AM"
"SMH-L203","Windows 11 Pro","11/7/2024 8:17:37 AM"
"SMH-L73","Windows 10 Pro","9/5/2024 8:37:26 AM"
"SMH-L205","Windows 11 Enterprise","11/14/2024 7:07:56 AM"
"smh-l207","macOS","11/11/2024 9:22:19 AM"
"smh-l209","macOS","11/9/2024 3:11:11 PM"
"smh-l210","macOS","11/12/2024 10:13:58 AM"
"SMH-L75","Windows 10 Pro","11/11/2024 3:11:40 PM"
"SMH-L72","Windows 11 Pro","11/8/2024 2:49:07 PM"
"smh-l212","macOS","11/5/2024 1:06:34 PM"
"smh-l214","macOS","11/14/2024 9:39:37 AM"
"SMH-L167","Windows 10 Pro","7/22/2024 11:29:44 AM"
"smh-l211","macOS","11/12/2024 6:42:35 AM"
"smh-l201","macOS","2/14/2024 12:59:13 PM"
"SMH-L216","Windows 11 Pro","11/14/2024 8:22:53 AM"
"SMH-L217","Windows 11 Pro","11/5/2024 10:01:22 AM"
"SMH-L220","Windows 11 Pro","11/8/2024 8:38:33 AM"
"SMH-L219","Windows 11 Pro","11/5/2024 8:43:03 AM"
"SMH-L218","Windows 11 Pro","11/14/2024 7:29:22 AM"
"LDG-L009","Windows 11 Pro","11/8/2024 10:52:29 AM"
"LDG-L010","Windows 11 Pro","10/11/2024 8:45:45 AM"
"SMH-L223","Windows 11 Pro","11/14/2024 11:49:52 AM"
"SMH-L221","Windows 11 Pro","11/14/2024 8:19:26 AM"
"SMH-L222","Windows 11 Pro","11/5/2024 8:20:18 AM"
"smh-l200","macOS","10/26/2024 9:06:26 PM"
"SMH-L148","Windows 10 Pro","11/14/2024 4:51:31 PM"
"smh-l213","macOS","11/11/2024 9:11:26 AM"
"ldg-l004","macOS","10/28/2024 8:33:16 AM"
"SMH-L123","Windows 11 Pro","11/15/2024 8:19:38 AM"
"SMH-L106","Windows 10 Pro","11/11/2024 7:54:12 AM"
"LDG-L008","Windows 10 Pro","9/13/2024 9:04:37 AM"
"smh-l158","macOS","11/11/2024 8:00:41 AM"
"SMH-L163","Windows 11 Pro","11/7/2024 10:27:19 AM"
"SMH-L74","Windows 10 Pro","11/6/2024 2:07:03 PM"
"smh-l67","macOS","11/12/2024 10:02:22 AM"
"smh-l131","macOS","11/9/2024 12:24:10 PM"
"SMH-L090","Windows 10 Pro","8/16/2024 8:12:45 AM"
